"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"165","AFG","AS","Afghanistan","2024",20,14.2256362306677,0,0,0,0,0
"545","AGO","AF","Angola","2024",25,121.368924644534,0,0,0,0,0
"355","ALB","EU","Albania","2024",15,16.3135618764774,0,0,0,0,0
"95","ARE","AS","United Arab Emirates","2024",9,459.460611761211,0,0,0,0,0
"665","ARG","SA","Argentina","2024",35,604.228268805885,0,0,0,1,0
"425","ARM","AS","Armenia","2024",18,17.0655802440457,0,0,0,0,0
"235","ATG","NO","Antigua and Barbuda","2024",25,1.67534189189538,0,0,0,0,0
"855","AUS","OC","Australia","2024",30,1617.23650775154,1,0,0,1,0
"785","AUT","EU","Austria","2024",23,439.060477907349,1,1,0,0,0
"1025","AZE","AS","Azerbaijan","2024",20,46.833307413449,0,0,0,0,0
"1585","BDI","AF","Burundi","2024",30,3.8462499351322,0,0,0,0,0
"1305","BEL","EU","Belgium","2024",25,559.379671499553,1,1,0,0,0
"1655","BEN","AF","Benin","2024",30,19.2594003882506,0,0,0,0,0
"1375","BFA","AF","Burkina Faso","2024",27.5,19.1419114239522,0,0,0,0,0
"1235","BGD","AS","Bangladesh","2024",27.5,444.83046479069,0,0,0,0,0
"1445","BGR","EU","Bulgaria","2024",10,70.6436507752742,0,1,0,0,0
"1515","BHR","AS","Bahrain","2024",0,39.6348334400728,0,0,0,0,0
"2085","BHS","NO","Bahamas","2024",0,13.3511715444174,0,0,0,0,0
"1095","BIH","EU","Bosnia and Herzegovina","2024",10,23.1015315604708,0,0,0,0,0
"2345","BLR","EU","Belarus","2024",25,59.5592789201154,0,0,0,0,0
"2415","BLZ","NO","Belize","2024",0,2.86587329672403,0,0,0,0,0
"1895","BOL","SA","Bolivia (Plurinational State of)","2024",25,41.8627290521826,0,0,0,0,0
"2015","BRA","SA","Brazil","2024",34,2332.69027985347,0,0,0,1,1
"1165","BRB","NO","Barbados","2024",9,5.29660451199246,0,0,0,0,0
"1825","BRN","AS","Brunei Darussalam","2024",18.5,12.9264338456134,0,0,0,0,0
"2155","BTN","AS","Bhutan","2024",25,3.10228768385109,0,0,0,0,0
"2275","BWA","AF","Botswana","2024",22,19.8652284905331,0,0,0,0,0
"2675","CAF","AF","Central African Republic","2024",30,2.3126558126789,0,0,0,0,0
"2485","CAN","NO","Canada","2024",26.14,1839.34127471329,1,0,1,1,0
"2815","CHE","EU","Switzerland","2024",19.608138,778.606783919684,1,0,0,0,0
"3005","CHL","SA","Chile","2024",27,315.663478038804,1,0,0,0,0
"3145","CHN","AS","China","2024",25,17528.3893194945,0,0,0,1,1
"2885","CIV","AF","Cote d'Ivoire","2024",25,76.1637556930316,0,0,0,0,0
"3075","CMR","AF","Cameroon","2024",33,45.0508780106113,0,0,0,0,0
"2605","COD","AF","Democratic Republic of the Congo","2024",30,55.2670073054332,0,0,0,0,0
"2745","COG","AF","Congo","2024",28,11.9285435078356,0,0,0,0,0
"3215","COL","SA","Colombia","2024",35,370.871792341562,1,0,0,0,0
"3425","CPV","AF","Cabo Verde","2024",21.42,2.42256828377982,0,0,0,0,0
"3285","CRI","NO","Costa Rica","2024",30,74.9118584164171,1,0,0,0,0
"3355","CUB","NO","Cuba","2024",35,93.2084752162845,0,0,0,0,0
"3595","CYP","EU","Cyprus","2024",12.5,30.0416118691955,0,1,0,0,0
"3665","CZE","EU","Czechia","2024",21,236.108480765876,1,1,0,0,0
"3735","DEU","EU","Germany","2024",29.927068,3800.74983579436,1,1,1,1,0
"3805","DJI","AF","Djibouti","2024",25,3.78618960933883,0,0,0,0,0
"3945","DMA","NO","Dominica","2024",25,0.581478708508133,0,0,0,0,0
"3875","DNK","EU","Denmark","2024",22,383.29363227412,1,1,0,0,0
"4015","DOM","NO","Dominican Republic","2024",27,105.255834115224,0,0,0,0,0
"4085","DZA","AF","Algeria","2024",26,190.646133155034,0,0,0,0,0
"4155","ECU","SA","Ecuador","2024",25,114.597114225303,0,0,0,0,0
"4295","EGY","AF","Egypt","2024",22.5,282.039685951268,0,0,0,0,0
"4415","ERI","AF","Eritrea","2024",30,2.43895952975585,0,0,0,0,0
"4485","ESP","EU","Spain","2024",25,1427.71495923849,1,1,0,0,0
"4225","EST","EU","Estonia","2024",20,29.6274563984798,1,1,0,0,0
"4555","ETH","AF","Ethiopia","2024",30,118.636971983771,0,0,0,0,0
"4625","FIN","EU","Finland","2024",20,260.864678268793,1,1,0,0,0
"4695","FJI","OC","Fiji","2024",25,5.86197265276204,0,0,0,0,0
"4915","FRA","EU","France","2024",25.825,2749.22754971355,1,1,1,1,0
"4985","GAB","AF","Gabon","2024",30,16.8283404831357,0,0,0,0,0
"5055","GBR","EU","United Kingdom of Great Britain and Northern Ireland","2024",25,2827.06618622283,1,0,1,1,0
"5195","GEO","AS","Georgia","2024",15,23.8568233730259,0,0,0,0,0
"5365","GHA","AF","Ghana","2024",25,79.511544926612,0,0,0,0,0
"5605","GIN","AF","Guinea","2024",25,14.9517144356942,0,0,0,0,0
"5535","GMB","AF","Gambia","2024",27,2.12744620042195,0,0,0,0,0
"6035","GNB","AF","Guinea-Bissau","2024",25,1.79993159707448,0,0,0,0,0
"5725","GNQ","AF","Equatorial Guinea","2024",35,9.56500727877925,0,0,0,0,0
"5795","GRC","EU","Greece","2024",22,222.6225202123,1,1,0,0,0
"5125","GRD","NO","Grenada","2024",28,1.24300094598398,0,0,0,0,0
"5915","GTM","NO","Guatemala","2024",25,91.1580802461801,0,0,0,0,0
"6105","GUY","SA","Guyana","2024",25,28.2567045575226,0,0,0,0,0
"6175","HKG","AS","China, Hong Kong Special Administrative Region","2024",16.5,344.195818286931,0,0,0,0,0
"6295","HND","NO","Honduras","2024",30,28.2706134368935,0,0,0,0,0
"6365","HRV","EU","Croatia","2024",18,70.7866730547528,0,1,0,0,0
"6435","HTI","NO","Haiti","2024",30,13.7671194350644,0,0,0,0,0
"6505","HUN","EU","Hungary","2024",9,171.659703266724,1,1,0,0,0
"6575","IDN","AS","Indonesia","2024",22,1324.60266406836,0,0,0,1,0
"6835","IND","AS","India","2024",30,3687.55200805852,0,0,0,1,1
"6645","IRL","EU","Ireland","2024",12.5,498.603281258942,1,1,0,0,0
"7025","IRN","AS","Iran (Islamic Republic of)","2024",25,506.148566162938,0,0,0,0,0
"6955","IRQ","AS","Iraq","2024",15,191.594069817891,0,0,0,0,0
"7095","ISL","EU","Iceland","2024",21,29.7124962564714,1,0,0,0,0
"6715","ISR","AS","Israel","2024",23,456.695510966319,1,0,0,0,0
"7165","ITA","EU","Italy","2024",27.81,2069.54817619174,1,1,1,1,0
"7285","JAM","NO","Jamaica","2024",25,15.7199616632988,0,0,0,0,0
"7355","JOR","AS","Jordan","2024",20,47.5734923100792,0,0,0,0,0
"7425","JPN","AS","Japan","2024",29.74,5031.6292061327,1,0,1,1,0
"8115","KAZ","AS","Kazakhstan","2024",20,209.721343634012,0,0,0,0,0
"7495","KEN","AF","Kenya","2024",30,113.666015922188,0,0,0,0,0
"7565","KGZ","AS","Kyrgyzstan","2024",10,10.1156226196893,0,0,0,0,0
"7635","KHM","AS","Cambodia","2024",20,29.9048537439732,0,0,0,0,0
"7805","KNA","NO","Saint Kitts and Nevis","2024",33,1.11620526894683,0,0,0,0,0
"7925","KOR","AS","Republic of Korea","2024",26.4,1886.82714476606,1,0,0,1,0
"7995","KWT","AS","Kuwait","2024",15,124.14025127615,0,0,0,0,0
"8185","LAO","AS","Lao People's Democratic Republic","2024",20,21.4384847651917,0,0,0,0,0
"8255","LBN","AS","Lebanon","2024",17,34.9720202610656,0,0,0,0,0
"8515","LBR","AF","Liberia","2024",25,3.18316852136217,0,0,0,0,0
"8865","LBY","AF","Libya","2024",20,67.9422262757924,0,0,0,0,0
"8325","LCA","NO","Saint Lucia","2024",30,2.16640493794756,0,0,0,0,0
"8445","LKA","AS","Sri Lanka","2024",30,90.5623469860481,0,0,0,0,0
"8585","LSO","AF","Lesotho","2024",25,2.19544191629397,0,0,0,0,0
"8655","LTU","EU","Lithuania","2024",15,57.1993947289998,1,1,0,0,0
"8725","LUX","EU","Luxembourg","2024",24.94,72.8759400336234,1,1,0,0,0
"8795","LVA","EU","Latvia","2024",20,34.119527031789,1,1,0,0,0
"9625","MAC","AS","China, Macao Special Administrative Region","2024",12,48.4626896085424,0,0,0,0,0
"8935","MAR","AF","Morocco","2024",33,136.240860255429,0,0,0,0,0
"9055","MDA","EU","Republic of Moldova","2024",12,10.4984354970458,0,0,0,0,0
"9225","MDG","AF","Madagascar","2024",20,15.7233241499712,0,0,0,0,0
"10055","MDV","AS","Maldives","2024",15,6.36175686804187,0,0,0,0,0
"10195","MEX","NO","Mexico","2024",30,1286.96083832509,1,0,0,1,0
"9345","MKD","EU","The former Yugoslav Republic of Macedonia","2024",10,12.7136405021617,0,0,0,0,0
"9415","MLI","AF","Mali","2024",30,19.5749779023923,0,0,0,0,0
"9915","MLT","EU","Malta","2024",35,18.991780113897,0,1,0,0,0
"9485","MMR","AS","Myanmar","2024",22,63.9461006674083,0,0,0,0,0
"9555","MNG","AS","Mongolia","2024",25,14.8993934648971,0,0,0,0,0
"10335","MOZ","AF","Mozambique","2024",32,16.1315289876801,0,0,0,0,0
