"","Region","Average Rate","Weighted Average Rate","Number of Countries"
"1","Africa",27.3266666666667,27.5436350028917,51
"2","Asia",19.7370212765957,25.0947890091432,47
"3","Europe",20.1797488717949,24.3915370927532,39
"4","North America",25.594640625,25.9677605482362,24
"5","Oceania",24.375,29.7158492050267,8
"6","South America",28.375,32.667084063378,12
"7","G7",27.153349,26.6293714014496,7
"8","OECD",23.8531995,26.1173155284916,38
"9","BRICS",27.2,26.217572078067,5
"10","EU27",21.2741506666667,25.1920729762507,27
"11","G20",27.0775496315789,26.5028820435898,19
"12","World",23.5253126022099,25.6716243303305,181
